タイムスタンプ,サロン名,カテゴリー,在籍プロフェッショナル,サロン紹介文,その他（注意事項等）,Instagram,Facebookページ,Twitter,TikTok,YouTube,その他,サロンのロゴ画像,その他、施術中の写真やスタッフ写真等,ご登録のサロン情報をJ Beauty関連のSNSやWebサイトへ掲載してよろしいでしょうか？,logo_name
2022/09/10 11:00:42,SHINBI,"Acupuncture, Beauty Salon, Supplement",Sayuri Yoshida.Chinatsu Uehara,"日本式美容鍼専門店のSHINBIです。
日本の丁寧で優しい鍼で、美容鍼を通して皆様の人生を豊かにするお手伝いをさせていただきます。
SHINBIは日本語で「心美」と書きます。心が輝き顔が輝く、内側からも外側からもアプローチしていくのがSHINBIの美容鍼です。
1番見られている「顔」は結構こっています。
顔の緊張は心の緊張。顔をほぐして心をほぐしていきます。
そして、顔や頭には沢山のツボがあります。ツボは経絡という線で繋がっています。直接的、間接的にすべての経絡が顔や頭のツボと繋がっています。
美容鍼をすることで、美容アプローチはもちろんのこと、心や体へのアプローチにも繋がります。
第一印象は約5秒ほどで決まると言われています。
顔のたるみやハリツヤのなさは、疲れて老けた印象を与えます。美容鍼で、活き活きと輝く若々しい顔を手に入れてみませんか？","※必ず下記のご説明をお読みになり、施術を希望される場合には、十分にご理解いただき同意したものと致します。

1.施術について
「鍼」とは鍼をもって身体表面の一定部位に、接触または穿刺刺入するものです。
当店で行う「美容鍼」の鍼の太さは0.14ｍｍ、0.12ｍｍと、髪の毛ほどの太さのものを使用しています。
刺入深度は約5mmほどです。痛みの少ない安全な施術になります。
知識と技術を持った、日本のはり師国家資格保持者が安全に施術を担当いたします。
2.効果について
鍼の効果には、「直後効果」と「事後効果」があり、施術後すぐに効果があらわれる場合と、一定の時間を経過してから効果があらわれる場合があります。また、効果のあらわれ方及び効果の持続性にも個人差があります。
3.出血と皮下出血について
鍼施術では、鍼が皮膚、毛細血管、筋肉などの組織に刺入されるため、常に皮下出血やごくわずかの出血をともなう可能性があります。したがいまして、鍼治療によって皮下出血や出血が生じた場合も、それは生体の正常な反応に類するものであり、施術の過誤によるものではありません。また、皮下出血に起因して、まれに青あざが生じる場合もありますが、個人差により１週間から数週間で自然に退消します。青あざが長期間にわたって残ることはありませんのでご安心ください。
美容鍼の施術を受けられる場合には、上記のことをご理解いただき、疼痛、皮下出血、青あざ、多少の出血が生じる可能性があることをあらかじめご了承のうえ、施術を受けられる旨ご承諾くださいますようお願いいたします。
4.注意事項　下記の症状、状態に該当する方は施術をお受けすることができませんので、ご了承ください
◎ 飲酒後　◎ 伝染病　◎ 重篤な疾患　◎ その他重篤な状態にある場合
◎ 出血性疾患　◎ 高熱時、安静が必要な場合　
4.施術後について
施術後、眠気やだるさが出る場合がございます。当日はゆったりとお過ごしください。
施術前後の飲酒や激しい運動、長風呂、サウナは避けてください。
帰宅時、帰宅後の転倒、事故等が発生しても、当店ではその責任を負いかねます。気を付けてお帰りください。
※以上のことから、施術中または施術後に体調の変化が見られた場合であっても、当施設と施術者は責任を負えませんのでご了承ください。",shinbi_kl、salon.shinbi,,,,,,https://drive.google.com/open?id=1AAOftEqEseoyoZrGnhqcEdUVJJH4E26P,"https://drive.google.com/open?id=1lxb55iRYKLiqrFaUbExzIyGjJY9r6Ape
https://drive.google.com/open?id=1FA42GV7QBo7zr8_FAjBn6HbxvOz7ixR0
https://drive.google.com/open?id=1MXs5wdYA6C8wn4N5v85AfT3kicscwCQS",はい,Shinbi.jpg
2022/09/10 12:03:54,SHINBI,Supplement,Chinatsu Uehara、Sayuri Yoshida,"「NMN9000＋VitaminC4500」
エイジングケアの救世主！
世界が注目する「美と健康」の次世代サプリメントが誕生!
NMN成分をたっぷり配合！

高品質、高含有量（１袋：NMN１日２粒×30日分9000mg、ビタミンC1日150mg×30日4500mg）、高純度（純度規格99.9％）、国産でこの価格!!

2016年、国際的な医学専門誌にて米国ワシントン大学医学部発生生物学部門・医学部門の今井眞一郎教授（神戸医療産業都市推進機構先端医療研究センター・老化機構研究部特任部長兼任）らが、マウスを使って実施した研究結果を発表した論文がきっかけに「老化を抑え、寿命を延ばす可能性がある」物質として抗老化効果が期待される注目物質として世に浸透してきました。

NMNとはβ-ニコチンアミド・モノヌクレオチドの略で（NMN、β-NMN、β-Nicotinamide Mononu cleotide）加齢に伴い減少する生体内物質NAD+（ニコチンアミドアデニンジヌクレオチド、 コエンザイム1）の最も直接的な前駆体のことです。
補酵素NAD+は、数千種類の細胞の新陳代謝 反応に広く関与しており、人体の生命力を活性化する重要な物質です。

本来は体内で自然に生成される物質ですが、加齢に伴い体内での生産能力が減退し、その結果 体内の修復機能が失われていくと言われています。
加齢に伴い減少してしまうNMNは、生体エネルギーの供給源をサポートできる物質とし、 それを摂取することにより、新陳代謝レベルを速やかに若い状態に回復させ、エネルギーを大幅 に向上し、疲労を取り除き、老化を遅らせることができると言われています。

NMNとは、体のエネルギー代謝にとって必須の物質であるNADの合成中間体で、抗老化や寿命の制御にかかわるサーチュイン（SIRT）と呼ばれる因子を活性化させると考えられています。

＊NMNを多く含む食品として、枝豆、ブロッコリー、アボカド、キュウリなどがありますが、ブロッコリーの場合1日300ｍｇのNＭＮを摂取しようとすると約4800房の量が必要となります。

名称：NMN9000＋VITAMIN C4500
β-ニコチンアミド・モノヌクレオチド含有加工食品

原材料名：β-ニコチンアミド・モノヌクレオチド(国内製造)、ビタミンC、HPMC、セルロース、ステアリン酸Ca、ゲル化剤(ジェランガム)、着色料(酸化チタン)

栄養成分：２粒あたり(632mg)
熱量2.4kcal、タンパク質0.15g、脂質0.01g、炭水化物0.43g、食塩相当量0.001g、ビタミンC150mg、β-ニコチンアミド・モノヌクレオチド300mg

内容量：60粒

お召し上がり方：1日2カプセルを目安に水などでお召し上がりください。

※使用原料は酵素を含めすべて食品原料であるため、有機溶媒を使用しておりません。
環境と体にやさしい原料となります。
NMN認証：日本JFIC試験成績証明書、アメリカGRAS認証、AHF Halal認証取得原料使用

食生活は、主食、主菜、副菜を基本に食事のバランスを。",開封後はチャックをしっかりとお閉めください。体質やその日の体調によってまれに合わない場合もございますので、ご使用中体調がすぐれない時は使用をお控えください。本品は天産物由来の原料を加工したものですので色調等が異なる場合がありますが、品質には問題ありません。食品によるアレルギーが認められる方は、原材料名をご確認ください。,shinbi_kl,,,,,,https://drive.google.com/open?id=1As-oIuKJiseGjPhmGKuBU9IVcAdcyBlp,"https://drive.google.com/open?id=1r40f2hu_n_RfGmYQQxms2w9Ysmb62Ug5
https://drive.google.com/open?id=17jNQ6LL03lggfw4_8JcS1xxPEMkT8Chh",はい,Shinbi.jpg
2022/09/13 22:58:42,かざはな頭痛整体院,Health Care,土屋由佳,"頭痛のあなたへ。

あなたはいくつ当てはまりますか？
1. 頭痛薬を飲んでいる。
2. 病院で検査しても異常がない。
3. 首がこってくると頭痛になる。
4. 首と頭を取り替えたい。
5. 天気が悪くなる前に頭痛がする。
6. コメカミがズキズキ痛む。
7. 目の奥がズーンと重い。
8. 首の付け根がパンパンに張る
9. 更年期かしら？と諦めている。
10. 自律神経のバランスが崩れている。

頭痛の大きな原因は、首の付け根の血行不良です。頭痛持ちのあなたは既に感覚でご存じかも知れません。
日だまりショットは、ポキポキしない優しい施術で筋肉と神経の緊張を和らげて血行を促進し、ツラい痛みを取っていきます。
あなたに合うか？ぜひ試してみてください。",まとめ髪は解いていただくことがあります。ご了承ください。,kazahana_my,,,,,https://www.aoyama-kazahana-zutsu.com/,https://drive.google.com/open?id=1wbctvRJcZckQxXEO97GPT28zuLHF3oAB,"https://drive.google.com/open?id=1PXdaTzn3zmuBwVcauYqzFnXaJRB8r7wH
https://drive.google.com/open?id=1RqimB39s6ec30woxG0YZIEdkGDxrxbIi",はい,kazahana.jpg
2022/09/14 1:03:01,Alii,"Relaxation, Beauty Salon, Cosmetic, Supplement",島田優花、島田めぐみ,"日本でサロンを初めて約10年
お客様の悩みに寄り添い常により良い技術や商材、機械を探し続けていました
フェイシャルエステ、小顔矯正、姿勢矯正、脱毛、ハイフなど中心に行っております。
その中でも
5年前に出会った剥離しないハーブピーリング【陶肌トリートメント】は次世代ハーブピーリングと呼ばれ、赤くなったり、剥離をせず、ダウンタイムもないので仕事など予定に支障をきたさない画期的なピーリングです。
肌育成をしてくれる植物幹細胞や300種類の五年熟成させた酵素を使った肌負担なく優しく古くなった角質を取り新しいお肌を作っていきます。終わった後は肌の水分量も上がりつるんとした陶器のような白いお肌になります。
日本のサロンでは3000人以上のお客様を施術し、大変人気でリピートの高い施術になります。あらゆる肌トラブルに対応し、キメの整ったお肌になります。今日本で大ブームの【REVI】そして【陶肌トリートメント】マレーシアの皆さまに絶対喜んで頂ける施術だと思い出店を決めました。是非一度当サロンの【ハーブピーリング】お試しくださいませ。",妊娠中、酷い日焼けをしてる状態、整形直後、強い薬【ステロイド】使用の方はお受けできません。,aliihisaya ,,,,,,https://drive.google.com/open?id=1kVNPj5dCbfGfZ-QscbO8Z2n_-ScFpGuO,https://drive.google.com/open?id=1ePvtMaeJUHf6vpBbgqyodt79uzvCoIbR,はい,Alii.jpeg
2022/09/14 2:51:55,M's Beauty Salon,"Aesthetic, Eyelash, Hair Removal, Beauty Salon",青木恵（MEGUMIAOKI）,"いらっしゃいませ♪

M's Beauty Salonです🌹
ご提供メニューは、まつ毛、ネイル、エステ、痩身、脱毛etc、
トータルビューティーサロンとなります✨

☆M's Beauty Salonスタッフ一同の想い☆
　～地域ＮＯ.1サロンであり続けたい～
「お客様を美しくしたい・お客様に喜んでもらいたい」という強い信念のもと、
『身近で頼れる高技術サロン』であり続けるようスタッフ一同努めております。

☆M's Beauty Salonについて☆
オープンから13周年💖
東京都内に4店舗営業中。すべて駅近でアクセス良好♪
年間1万人以上に施術メニューをご提供しておりますので、
経験豊富なスタッフが様々なお悩み解決サポートをさせていただきます。

☆ご来店されるお客様について☆
10代～60代まで幅広い年齢層の方にお越しいただいております。
休日などは特にご予約が取りづらいです。
〈事前のご予約をおすすめしております〉


☆大人気メニューご紹介☆

・まつ毛エクステ
　当店主力メニューです♪　
　独自の技術で非常に長持ちします
　毛が柔らかいのが特徴です
　ナチュラル、ボリューミー、キュート、セクシー、お好みのデザインに

・まつ毛パーマ
　まつ毛エクステと同様、当店主力メニューです♪
　仕上がりの綺麗さが好評でリピートされる方が非常に多いです♪
　ロッドの種類が豊富で、お客様の目にあったデザインを提案します

・アイブロウ（ハリウッドブロウリフト）　
　ナチュラルな立体眉へ
　仕上がり自由自在!好みの眉でコンプレックスを解消♪

・医療提携脱毛
　日本製自社オリジナル脱毛機で効果抜群♪
　速い、連射、痛くない、効果抜群です！！

・大人気！フォトフェイシャル
　常連様の一押しメニューです♪　
　シミ、シワ、たるみ、ニキビ、あらゆるお肌のお悩みに👍
　一度体験してしまうともうやめられない！

・ハイパー痩身コース
　『脂肪を溶かし、揉み出し、排出する』
　大人気ハイパーナイフシリーズ3種を体験できるコースです♪
　サロン専売品の水溶性ケイ素DMKをセットで摂取することで効果UP♪

☆ご来店お待ちしております☆

当店は技術はもちろん、接客、サロンの雰囲気、全てにおいて常に地域No.1であるべく頑張っております。
お客様が癒されるよう、喜んでもらえるよう、全力で美しなるサポートをさせていただきます。

まずはご相談からでもお気軽にご連絡ください♪",,https://www.instagram.com/ms_beauty_salon/,,https://twitter.com/Ms_beauty_salon,,https://www.youtube.com/channel/UC4J_nCEoQizM9q1kCKoPe6A,,https://drive.google.com/open?id=1FdP8lGmm9yAN0H4dO8_wEzO9fqR4Y0Nt,https://drive.google.com/open?id=1Ls9C2suh25zqWKJBZWCYn3XNMxRvDq55,はい,M's-Beauty-Salon.jpg
2022/09/14 2:59:31,aboveu（パーソナル日本ブランドアイテム）、QLOGO by aboveu（パーソナルスタイリストサービス）,"Jewelry, Apparel, Japanese Accessory",徳田阿希（その他、1名未定）,"『自分に似合うものを、永く大切に洋服を着たい。
そうすることで自分を大切にできるようになる。』

I want to wear clothes that suit me and 
that I will cherish for a long, long time.
That way I can take good care of myself.

そんな強い思いで、小規模のブランドとパーソナルスタイリストを結ぶ
ファッションのプラットフォームaboveu を構築しています。

衣食住の衣を通して『創る』『伝える』『選ぶ』の3つの喜びを届け、
今の自分よりちょっと素敵な自分になるきっかけを提供する。

”ファッションというクリエイティブを通して、
自分の人生を愉しむ（生きる）世界を創る”をMissionに、
まだ見ぬ新しい自分と出会い、お客様に寄り添い
“あなただけの”ライフスタイルをご提案。

マレーシアでは、""日本のクリエイティブ""を世界にのもと
素敵な日本ブランドのセレクトショップの出店と、
パーソナルスタイリストによるおもてなしの企画・イベントを行います。
",返品に関しては基本お断り、同等以上のものとご交換。,aboveu_official,https://www.facebook.com/aboveu.official,@aboveu100,@akki_aboveu  ,https://www.youtube.com/channel/UCo_4ZXrGP90Rm7LoREQcTTw,https://note.com/aboveu,https://drive.google.com/open?id=1v5V6-LUU79RD6cjDBVAHuLexiD4rfUwj,"https://drive.google.com/open?id=1muPTdX_beaUxk3-xn_C4YJk-9FC8m4Cw
https://drive.google.com/open?id=1IPeSfywUj43U6Ar5YsyOLLDjtso_7SjO
https://drive.google.com/open?id=1nNrVmz4-jBshVAPN6enQvPXdJXdLZ_L_
https://drive.google.com/open?id=1q00GkQQy25vlqMm4S6vLJFqgygG6sPIQ
https://drive.google.com/open?id=1yE4sahk3QUEojb1sRb5Gne9aEAWXFt2y
https://drive.google.com/open?id=1yo3yJ9iwJHBoNhFt-DBCNaraH8HYmkL0
https://drive.google.com/open?id=16YNoVV9jL8S-to4S5v3wW5qEs8Pf3TiQ
https://drive.google.com/open?id=1amRK8Vv7VmkhEWOnSxsUp5fnJsYTKehf
https://drive.google.com/open?id=1K0fli5FV8kKN8PlXXwCUOxAsH0x4LN4X
https://drive.google.com/open?id=1mNZGQ05PNrFnxxJSTJXavJOfEcbHpXEt",はい,aboveu.png
2022/09/14 5:50:55,Belle,Aesthetic,"山形亜美　山下美咲
","フェイシャルサロンだからできるお客様だけのオーダーメイドケアを提案します。また機械だけでなくオールハンドの施術も行っており他店にはないエステ✕リラクゼーションが合わさった最高の施術が体感できます
お客様一人一人の肌状態に合わせて化粧品や手技と言われるフェイシャルマッサージの内容を変えております。
",,belle_3388,,,,,,,,はい,Belle.png
2022/09/15 11:18:05,beauty salon *moana*,Eyelash,森田茜、森田一,"
仕上がりの満足度はもちろん、
施術中の気配りやサロン滞在中のおもてなしまで満足して頂けるスタイリストをモットーとし、また、お客様の皮膚に直接触れる細かい施術であればあるほどちょっとした気遣いが大切であると思っております。

カウンセリングにも力を入れており、
お客様のご要望をそのまま叶えるのではなく、まつ毛の状態を見極め、まつ毛はとてもシビアな部分とご理解頂き、負担がかかるようなデザインの施術はお断りさせて頂く場合もございます。
その場合、その時のまつ毛の状態に合ったデザインをご提案させて頂き、将来的にご希望のデザインに仕上がる様になるカリキュラムのご提案をさせて頂きます。


お客様の希望に添えるには時間がかかるかもしれませんが、
その時の1番をご提案するのがその道のプロだと思っております。

お客様との出会いを大切にしたサロンを目指しております。","キャンセルポリシー
当日の無断キャンセルは施術メニューの100%発生します。
キャンセルの場合は前日までにお願いします。

サロンへの入室はご予約時間の５分前からとなります。
(※前のお客様がいらっしゃったり、準備等がありますので早くても5分前からでお願いしております)",beautysalon.moana_akane,,,,,,https://drive.google.com/open?id=1zamggVmhkNK6jpg3G9Ykbtt094Zr46Ht,https://drive.google.com/open?id=169xrqJs9DBKiF1B_M1TVGabKVb40wzWC,はい,moana.jpg
2022/09/15 11:42:10,DoHERMO_KL,"Relaxation, Health Care, Beauty Salon",未定,当サロンはよもぎ蒸しをメインに骨盤矯正やバイオプトロン、水素吸引など美容だけでなく健康にも特化したサロンとなっております。,,do_hermo,,,@dohermoebisu,,,https://drive.google.com/open?id=1B0S3oN7ABdHT1iO4ZSIujRWoXtDr4zUj,,はい,dohermo.jpg
2022/09/15 14:17:52,Lien kelly,"Nail, Jewelry, Ｗax 脱毛",浅木暖乃香,"広島を中心にネイル・アイラッシュをはじめとする美容サロンを展開しております。

ネイル部門ではサロンワーク技術に特化したスクール、kelly Nailist Academyを併設、これまでに数々の生徒を輩出して参りました。


施術者浅木も元スクール生で、卒業後はkelly本店でネイル技術を磨いて参りました。

シンプルなデザインからトレンドのニュアンスアート、持ち込み画像、ポリッシュ、ケア、スカルプと幅広いメニューの対応が可能ですのでマレーシアにお越しの際はお気軽にお立ち寄りください。

マレーシアの地でより多くの方にネイルを通しMake Myself Happyを届けられたらと思っております。","1週間以内に取れたり浮いてしまった等のネイル不具合は無料お直しをさせて頂きます。
1週間経過後のお直しに関しては、お直し本数により料金が発生致します。

カラーやデザイン変更の場合は期限の有無に限らず別途料金が必要になるのでご了承下さいませ。",kelly.radia,,,,https://studio.youtube.com/channel/UCm_uieDCcM6gxonw01r-IiA/editing/images,https://kelly-radia.jp/?utm_source=google&utm_medium=gmb,,https://drive.google.com/open?id=1MGUk9g8PzHTZBvaMpzZwEI_wyy6f4YEz,はい,Kelly.png
